Model,Fold,AP,Accuracy,Recall,Precision,F1
Random forest,1,0.9055555555555554,0.6363636363636364,0.8333333333333334,0.625,0.7142857142857143
Random forest,2,0.7400793650793652,0.8181818181818182,1.0,0.75,0.8571428571428571
Random forest,3,1.0,0.9090909090909091,1.0,0.8333333333333334,0.9090909090909091
Random forest,4,0.8211111111111111,0.7,0.6,0.75,0.6666666666666666
Random forest,5,0.9428571428571428,0.8,0.8,0.8,0.8
Logistic regression,1,0.7329365079365079,0.6363636363636364,0.6666666666666666,0.6666666666666666,0.6666666666666666
Logistic regression,2,0.9107142857142856,0.7272727272727273,0.8333333333333334,0.7142857142857143,0.7692307692307693
Logistic regression,3,0.6416666666666666,0.7272727272727273,0.8,0.6666666666666666,0.7272727272727273
Logistic regression,4,0.925,0.9,0.8,1.0,0.8888888888888888
Logistic regression,5,0.9666666666666666,0.9,1.0,0.8333333333333334,0.9090909090909091
XGBoost,1,0.8523809523809522,0.7272727272727273,0.8333333333333334,0.7142857142857143,0.7692307692307693
XGBoost,2,0.7884920634920635,0.7272727272727273,0.8333333333333334,0.7142857142857143,0.7692307692307693
XGBoost,3,0.9666666666666666,0.9090909090909091,1.0,0.8333333333333334,0.9090909090909091
XGBoost,4,0.8211111111111111,0.7,0.6,0.75,0.6666666666666666
XGBoost,5,0.6595238095238095,0.7,0.8,0.6666666666666666,0.7272727272727273
